comment_id,post_id,media_page,comment_text,true_category
682,341,Burkina24,Exactement.,normal
161,80,Radars Info Burkina,C'est compliqué,normal
89,28,Minute.bf,Que la paix revienne.,normal
1305,1581,Sidwaya,C'est compliqué,normal
52,146,Minute.bf,Source : un ami bien placé au gouvernement.,misinfo
926,212,Minute.bf,Ils mentent sur les chiffres.,misinfo
766,482,RTB,Que Dieu protège le Faso.,normal
84,1404,Minute.bf,Elle est où la vidéo complète ?,adult
887,953,Burkina24,C'est compliqué,normal
659,954,AIB,Que Dieu protège le Faso.,normal
668,14,Burkina24,On attend de voir la suite.,normal
388,732,Radars Info Burkina,Ils mentent sur les chiffres.,misinfo
877,120,Parlons de Tout,Le peuple souffre.,normal
916,276,Sidwaya,Félicitations,normal
626,112,Radars Info Burkina,Information bien reçue,normal
1341,385,Minute.bf,Fake news,misinfo
1240,1335,Parlons de Tout,On attend la suite,normal
1254,1270,AIB,Vraiment ? C'est une bonne nouvelle.,normal
1194,1847,Sidwaya,"N'écoutez pas, c'est pour vous faire peur.",misinfo
483,640,AIB,Félicitations à lui/elle.,normal
518,1191,Radars Info Burkina,On veut la paix.,normal
64,1725,Libre Info,Merci beaucoup pour l'information.,normal
1119,1340,Burkina24,Force et courage.,normal
918,759,Radars Info Burkina,Ils ne sont pas de vrais Burkinabè.,hateful
833,1245,Minute.bf,On suit la situation de près.,normal
1439,1259,Libre Info,Enfin une bonne nouvelle !,normal
818,466,Radars Info Burkina,Rien à ajouter.,normal
872,177,Radars Info Burkina,Que Dieu protège le Faso.,normal
384,1017,Parlons de Tout,Exactement.,normal
750,615,Radars Info Burkina,Félicitations,normal
250,1900,AIB,On suit la situation de près.,normal
1129,97,Minute.bf,On veut la paix.,normal
289,629,AIB,Merci beaucoup pour l'information.,normal
1396,1884,Libre Info,On prie pour le pays.,normal
466,1994,Parlons de Tout,Journaliste corrompu,toxic
857,1522,Radars Info Burkina,"Je ne savais pas, merci.",normal
647,1239,RTB,Prompt rétablissement au blessé.,normal
48,1450,Minute.bf,On espère que ça va aller,normal
246,479,AIB,On veut la paix.,normal
503,1112,Minute.bf,Exactement.,normal
1081,1675,AIB,Merci pour le partage,normal
318,1469,Minute.bf,Merci pour cet éclaircissement.,normal
412,1525,BF1 TV,Intéressant.,normal
295,1846,Radars Info Burkina,Il faut prier,normal
431,603,Burkina24,On est fatigué.,normal
563,617,AIB,On suit la situation de près.,normal
273,451,Radars Info Burkina,Source ?,normal
553,1366,BF1 TV,Merci pour le partage,normal
1021,6,Radars Info Burkina,Quelle est cette façon de s'habiller ?,adult
970,1738,Burkina24,C'est noté,normal
748,1337,Burkina24,Prompt rétablissement au blessé.,normal
889,953,Burkina24,Merci pour l'info,normal
231,771,AIB,Que la paix revienne.,normal
688,76,BF1 TV,Regarde ses fesses,adult
1286,347,Minute.bf,On espère que ça va aller,normal
255,8,Parlons de Tout,Elle n'a pas froid aux yeux.,adult
949,571,Parlons de Tout,Bien dit,normal
1440,1650,Minute.bf,Force à nos FDS,normal
913,276,Sidwaya,Elle n'a pas froid aux yeux.,adult
1308,1031,Sidwaya,C'est exactement ça le problème.,normal
756,584,Minute.bf,"Méfiez-vous des [groupe], ce sont des serpents.",hateful
1502,96,AIB,Du courage à nos FDS.,normal
1147,454,Libre Info,Force et courage.,normal
352,1531,Parlons de Tout,OK merci,normal
693,54,AIB,Il faut les tuer,hateful
510,699,Libre Info,Merci pour l'info,normal
612,813,Parlons de Tout,Merci pour le partage,normal
188,1995,Radars Info Burkina,Que Dieu protège le Faso.,normal
362,682,AIB,Que Dieu bénisse le Burkina Faso,normal
1293,106,Minute.bf,Bravo pour votre travail.,normal
61,1241,Sidwaya,On ne veut plus de ces gens-là.,hateful
931,1586,RTB,Merci pour le partage,normal
554,367,Parlons de Tout,Triste nouvelle,normal
814,1444,Libre Info,Que Dieu nous aide,normal
952,571,Parlons de Tout,Source ?,normal
963,899,Burkina24,Bonne nouvelle,normal
1175,161,Minute.bf,Bonne nouvelle,normal
1471,833,BF1 TV,"Merci, force à vous",normal
128,1986,Radars Info Burkina,On est fatigué.,normal
271,52,Burkina24,Merci pour l'effort d'information,normal
493,834,BF1 TV,C'est noté,normal
433,603,Burkina24,Félicitations,normal
1196,1847,Sidwaya,On est fatigué.,normal
816,1444,Libre Info,C'est exactement ça le problème.,normal
209,475,BF1 TV,Information bien reçue,normal
951,571,Parlons de Tout,C'est noté,normal
557,367,Parlons de Tout,Je suis de tout cœur avec vous.,normal
392,1439,RTB,Intéressant.,normal
398,1770,Minute.bf,Vraiment ?,normal
993,1000,RTB,Je suis d'accord.,normal
939,1082,Sidwaya,"Méfiez-vous des [groupe], ce sont des serpents.",hateful
1452,1954,Minute.bf,Triste nouvelle,normal
44,912,Libre Info,Force à nos FDS,normal
1233,1895,AIB,J'aimerais être à la place du gars.,adult
498,1486,RTB,J'aimerais être à la place du gars.,adult
1316,1545,Minute.bf,Que Dieu protège le Faso.,normal
344,66,Minute.bf,Dieu est grand.,normal
359,75,Minute.bf,Source ?,normal
958,552,AIB,Information bien reçue,normal
423,389,Minute.bf,Il faut les chasser du pays.,hateful
908,869,BF1 TV,Enfin une bonne nouvelle !,normal
1078,365,AIB,La terre est plate,misinfo
1298,1909,Radars Info Burkina,Bravo pour votre travail.,normal
525,944,Sidwaya,Que Dieu nous aide,normal
959,552,AIB,Source ?,normal
880,1437,Libre Info,C'est la vérité,normal
240,1781,Burkina24,Il faut prier,normal
41,912,Libre Info,Imbécile,toxic
1031,1287,Libre Info,On prie pour le pays.,normal
927,212,Minute.bf,On prie pour le pays.,normal
1338,385,Minute.bf,Très bonne analyse.,normal
167,1521,Burkina24,Bien dit,normal
256,8,Parlons de Tout,C'est excitant,adult
543,1507,Minute.bf,Que la paix revienne.,normal
1376,643,Radars Info Burkina,On veut la paix.,normal
763,519,Parlons de Tout,Arrêtez vos bêtises.,toxic
613,691,Burkina24,Bonne nouvelle,normal
